University of Yaoundé I, Yaoundé, Cameroon
University of Yaoundé II, Soa, Cameroon
University of Douala, Douala, Cameroon
University of Buea, Buea, Cameroon
University of Dschang, Dschang, Cameroon
University of Ngaoundéré, Ngaoundéré, Cameroon
University of Maroua, Maroua, Cameroon
University of Bamenda, Bamenda, Cameroon
Catholic University of Central Africa, Yaoundé, Cameroon
ICT University, Yaoundé, Cameroon
Université Omar Bongo, Libreville, Gabon
Université des Sciences et Techniques de Masuku, Franceville, Gabon
Université Marien Ngouabi, Brazzaville, Congo
Université de Kinshasa, Kinshasa, DR Congo
Université de Lubumbashi, Lubumbashi, DR Congo
Université de Kisangani, Kisangani, DR Congo
Université de N'Djamena, N'Djamena, Chad
Université de Moundou, Moundou, Chad
Université de Bangui, Bangui, Central African Republic
National University of Equatorial Guinea, Malabo, Equatorial Guinea
